"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"	"X51"	"X52"	"X53"	"X54"	"X55"	"X56"	"X57"	"X58"	"X59"	"X60"	"X61"	"X62"
"X32"	0.9837058	0.97976332	0.98845373	0.99513017	0.99680174	0.99035093	0.9581563	0.95186004	0.95985102	0.95549255	0.98448954	0.97374397	0.97788959	0.9211687	0.99761554	0.96423075	0.98907207	0.98210724	0.90421163	0.97923627	0.97333515	0.90923931	0.91968637	0.97443721	0.97492027	0.96291787	0.96500851	0.99157891	0.99327742	0.96646082	NA	0.91648851	0.62090085	0.86039524	0.83841379	0.6156748	0.91234788	0.97727141	0.7944073	0.80721405	0.81782869	0.81635829	0.92881421	0.86549917	0.76928	0.93326241	0.81224045	0.64989346	0.81226723	0.85097937	0.98461917	0.95535843	0.88333662	0.78693407	0.78980417	0.85963461	0.82592736	0.81547496	0.90364527	0.87074499	0.75549771
"X33"	0.9966814	0.98622209	0.99724156	0.99970593	0.99812319	0.99916343	0.98030645	0.93045033	0.98155206	0.94333418	0.97290327	0.9910918	0.98923354	0.89218989	0.99845096	0.98106962	0.99862914	0.99594804	0.88038739	0.99288511	0.9884167	0.87975397	0.89119555	0.99148309	0.9900481	0.98380471	0.98389538	0.98999981	0.99216433	0.98269871	0.99437867	NA	0.58682759	0.87274631	0.90908263	0.58395131	0.90940644	0.92854138	0.85953129	0.87101745	0.89454516	0.87805268	0.94445672	0.92514008	0.83296254	0.93528958	0.7813172	0.6185911	0.8790571	0.81695826	0.91764024	0.94247811	0.96484538	0.8513867	0.86289607	0.86906389	0.88468704	0.89196166	0.89484316	0.87602942	0.72887083
"X34"	0.82582781	0.8861807	0.85184212	0.87390522	0.89161392	0.85470948	0.76719111	0.97899621	0.76947541	0.97218469	0.95293312	0.80037758	0.84708595	0.99695691	0.88990655	0.81034043	0.85388641	0.82105767	0.99314891	0.82603384	0.82122019	0.99870925	0.99779704	0.80168118	0.82557822	0.77414114	0.79639013	0.91617449	0.88379394	0.81762016	0.8978132	0.86463974	NA	0.604847	0.54687325	0.96104731	0.61115637	0.62425764	0.51252646	0.53047016	0.5137425	0.53985969	0.62817999	0.57113183	0.49064881	0.63825657	0.79145368	0.9545687	0.52959206	0.74832435	0.61111942	0.60785515	0.56576972	0.50764485	0.49158396	0.6213605	0.54722519	0.51752214	0.64916205	0.66402855	0.77575745
"X35"	0.98484891	0.99587711	0.99483979	0.99001266	0.98908952	0.98872081	0.97026021	0.92774415	0.97111311	0.95236303	0.96827534	0.97943594	0.99525127	0.90853142	0.98966862	0.98725389	0.98757602	0.98402345	0.89803864	0.99119829	0.99067859	0.897897	0.90868672	0.98009691	0.98971631	0.97220007	0.98350346	0.99150263	0.97633083	0.98798191	0.98696126	0.98951629	0.8821059	NA	0.89797082	0.60465859	0.93794008	0.86598699	0.87227962	0.88958631	0.85131164	0.90155215	0.88033956	0.92707274	0.85043123	0.87447051	0.77693611	0.62776434	0.88896112	0.77848143	0.86046497	0.86048826	0.87332924	0.87150001	0.83707238	0.96351041	0.91424165	0.8563363	0.87549815	0.90168772	0.74593236
"X36"	0.99815443	0.98939116	0.99867877	0.99352326	0.98831349	0.99697669	0.99291553	0.9001485	0.99347706	0.92588686	0.95178044	0.99752348	0.99668328	0.8624999	0.98874701	0.99483372	0.99674348	0.99819885	0.85376243	0.99952581	0.9982659	0.84903078	0.8619161	0.99773353	0.99903909	0.99423581	0.99696433	0.98035416	0.97596748	0.99554691	0.98092051	0.9944908	0.8309027	0.99037564	NA	0.55457011	0.87764974	0.84700768	0.94885694	0.95003022	0.94842774	0.95199628	0.87650777	0.95791424	0.92256683	0.86508383	0.72848308	0.57560982	0.9631186	0.73984452	0.84129748	0.85878598	0.93715052	0.93780803	0.93215653	0.89311127	0.95568018	0.95412631	0.84707543	0.85563097	0.70010116
"X37"	0.83047657	0.89454877	0.85680764	0.87645715	0.89345901	0.85868941	0.77461646	0.97685733	0.77668455	0.97621622	0.95296473	0.80625744	0.85560198	0.99696463	0.8912881	0.82078103	0.85845501	0.82565315	0.99503596	0.83267562	0.8296908	0.99844812	0.9973852	0.80746221	0.83401198	0.78084965	0.80555669	0.91852043	0.88136817	0.82807295	0.8964593	0.86699815	0.99842141	0.88717172	0.83741797	NA	0.60675679	0.61946847	0.52638245	0.54498147	0.52342556	0.55330074	0.63023186	0.56931071	0.50862299	0.63848536	0.79242222	0.94612279	0.54024691	0.74495373	0.60558705	0.60369568	0.56678778	0.51858789	0.50229526	0.62801332	0.55627079	0.52573279	0.6511718	0.67656273	0.7991695
"X38"	0.98613327	0.98985142	0.99435951	0.99370783	0.99408925	0.9906301	0.96652372	0.93707541	0.96782516	0.95185723	0.97547325	0.97847598	0.9896653	0.91363151	0.9949409	0.97914559	0.98915319	0.98497659	0.89895494	0.9882738	0.98523224	0.90247635	0.9131724	0.97923434	0.98460029	0.96983349	0.97729252	0.9936052	0.98670156	0.98009472	0.99529881	0.9935356	0.88821174	0.99718463	0.98792424	0.88985607	NA	0.91818748	0.83847214	0.85529038	0.84190854	0.86583258	0.90782091	0.91281731	0.81514406	0.90481498	0.7956013	0.63765029	0.85818226	0.81554088	0.91331692	0.9113761	0.8953104	0.8374821	0.81942996	0.92851785	0.88026405	0.84231859	0.90182651	0.90924298	0.7484164
"X39"	0.98613438	0.98185006	0.99033633	0.99673545	0.99846294	0.99240401	0.96115691	0.95202453	0.96282011	0.95637988	0.98524485	0.97646475	0.98022606	0.9199284	0.99903942	0.96677998	0.99130242	0.98468931	0.90485781	0.98166599	0.9759153	0.90872736	0.9187371	0.97710789	0.97745407	0.96587301	0.96779819	0.99379233	0.99570736	0.96886694	0.99938891	0.99614205	0.89623253	0.98786737	0.98336238	0.89574486	0.99544425	NA	0.80144116	0.81379818	0.82545965	0.82284919	0.94313484	0.87287576	0.77566312	0.94649146	0.81735177	0.654659	0.81912422	0.85940657	0.9721796	0.97482076	0.89470208	0.79326673	0.79687316	0.866273	0.83236201	0.82279996	0.91460173	0.87715745	0.75880476
"X40"	0.99447032	0.98500979	0.99480896	0.98499593	0.97790347	0.99061537	0.99557822	0.87647892	0.99582376	0.90756642	0.93407217	0.99652792	0.99602021	0.83922169	0.97849364	0.99792419	0.99050869	0.99483946	0.83017661	0.99868469	0.99918448	0.82475647	0.83841328	0.99664882	0.99899187	0.99578071	0.99980814	0.96922463	0.96267237	0.99784629	0.96931436	0.98670518	0.80484186	0.9859921	0.99806478	0.81332852	0.98072581	0.97203674	NA	0.96628699	0.92301049	0.96265557	0.82763833	0.91871488	0.97324148	0.81609281	0.68811928	0.53800333	0.97549376	0.69581462	0.79757661	0.81225413	0.88851092	0.97555187	0.92814606	0.86878715	0.95555153	0.93112242	0.8051807	0.82191943	0.67382182
"X41"	0.99400304	0.9905939	0.99623846	0.9872082	0.98169186	0.99162026	0.99155119	0.88786793	0.99191823	0.92049544	0.94252389	0.9943167	0.99854071	0.85503201	0.98171396	0.99886757	0.99164624	0.99395386	0.84739835	0.99889881	0.99989186	0.84173313	0.8545229	0.99454457	0.999295	0.99205921	0.99869324	0.97523914	0.96536008	0.99903394	0.97270765	0.98833266	0.82211914	0.99003528	0.99822437	0.83100223	0.98430889	0.97546933	0.99904282	NA	0.90646034	0.98564219	0.84279915	0.93402707	0.95334117	0.83118385	0.705716	0.555663	0.97862728	0.71174484	0.80951518	0.82387446	0.89337709	0.95695287	0.90734249	0.88923702	0.96515513	0.91414236	0.82121827	0.84309923	0.69566494
"X42"	0.99865412	0.9781891	0.99433253	0.9898454	0.98289646	0.995062	0.99682573	0.88333305	0.99738161	0.90601556	0.93949499	0.9997879	0.98991575	0.83673436	0.98347802	0.990275	0.99516211	0.99896763	0.82660387	0.99670474	0.99442399	0.82156426	0.83535799	0.99979322	0.99597082	0.99821452	0.99580628	0.96921683	0.97218642	0.99092307	0.97455347	0.99169167	0.8029779	0.97965728	0.99769257	0.80911918	0.97883914	0.9773283	0.99652176	0.9945387	NA	0.90572704	0.85885877	0.91649079	0.90533856	0.84636915	0.69947389	0.54614565	0.92306457	0.72064334	0.82053783	0.84080321	0.92918379	0.91711723	0.95751157	0.84657941	0.91055255	0.98201911	0.81775971	0.82387424	0.67122258
"X43"	0.99426713	0.99206047	0.99722516	0.98883009	0.98376693	0.99264254	0.99036393	0.89369726	0.99079929	0.92486602	0.94670756	0.99391828	0.99915895	0.86188204	0.98393407	0.99847426	0.9925503	0.99411554	0.85387191	0.99910009	0.99984244	0.84888711	0.86146457	0.99419198	0.99938372	0.99108159	0.99805694	0.97828622	0.96813386	0.99872571	0.97550668	0.98976073	0.82965168	0.99202967	0.99854097	0.83810642	0.98677091	0.97817205	0.99872104	0.9998315	0.99421904	NA	0.85098947	0.94236929	0.94474199	0.83946093	0.71494898	0.56475439	0.975299	0.72105922	0.81967571	0.83234418	0.89817138	0.95335052	0.90459239	0.90018025	0.97805265	0.91385115	0.83086883	0.8530983	0.70227751
"X44"	0.98943236	0.9895287	0.99301358	0.9982773	0.99932106	0.99569169	0.96723651	0.9529265	0.96860781	0.96401041	0.98635469	0.98118756	0.98654932	0.92103016	0.99903509	0.97475485	0.99562121	0.98791753	0.91091658	0.98602352	0.98212626	0.90999506	0.91963867	0.98160823	0.98460555	0.9711643	0.97499497	0.99500958	0.99144025	0.97730436	0.99493426	0.99701034	0.89656312	0.98957805	0.98842964	0.89975713	0.99297131	0.99697663	0.97845262	0.98246791	0.98247857	0.98460538	NA	0.89571306	0.80204666	0.98674105	0.82674757	0.66357769	0.84617478	0.85867135	0.92284776	0.94120246	0.92506093	0.8179799	0.82719265	0.8870447	0.8554445	0.85731372	0.92384739	0.90403013	0.77629557
"X45"	0.99672453	0.99217734	0.9998374	0.99568785	0.99232308	0.99707581	0.98707557	0.91241789	0.98786934	0.93602673	0.96058256	0.99390964	0.99705925	0.879667	0.99275181	0.99263239	0.99636733	0.99649485	0.86941235	0.99876728	0.99694949	0.86703177	0.87917244	0.9943148	0.99688614	0.98900282	0.99338127	0.98692727	0.9815962	0.99330089	0.98725826	0.99643598	0.84976309	0.99505854	0.99865691	0.85484461	0.99399738	0.98912559	0.9951273	0.9966564	0.99398051	0.99749819	0.99180968	NA	0.89322164	0.88564982	0.75492699	0.59990306	0.93977266	0.76567083	0.86846563	0.88228861	0.93551866	0.91602379	0.89877367	0.91224182	0.95333048	0.9179383	0.87197631	0.87676585	0.71464565
"X46"	0.99098559	0.98137501	0.99105615	0.97895796	0.97075458	0.98584058	0.99551448	0.86280248	0.99557689	0.89725572	0.9233011	0.99455725	0.99403656	0.82552609	0.97134693	0.99805699	0.98589299	0.99151039	0.81662002	0.99661513	0.99811242	0.81033082	0.82441106	0.99460027	0.99761707	0.9951013	0.9998051	0.96137445	0.95338793	0.99765176	0.96117793	0.98093885	0.7896046	0.98172148	0.99554917	0.79934263	0.97470038	0.96405509	0.99943667	0.99799324	0.99449043	0.99724515	0.97168208	0.99161218	NA	0.79014709	0.66469899	0.51612568	0.95149796	0.67071081	0.77279844	0.78596534	0.86277137	0.96827476	0.91281552	0.84682347	0.93258358	0.9139294	0.78039174	0.79928681	0.65884072
"X47"	0.98739113	0.98888535	0.991443	0.99759264	0.99928978	0.99436012	0.96350207	0.956741	0.96494486	0.96722381	0.98854881	0.97835315	0.98467619	0.92601232	0.99886381	0.97197387	0.99427988	0.9857212	0.91599595	0.98369024	0.97961677	0.91531139	0.92471498	0.97881838	0.98212597	0.9676476	0.9718256	0.9954295	0.99153084	0.97471764	0.99532501	0.99608623	0.90242072	0.98874377	0.98622896	0.90524742	0.99261539	0.99714629	0.97545257	0.97999836	0.97969439	0.98226439	0.99985893	0.99020977	0.9682772	NA	0.83562813	0.67225931	0.83472546	0.87079863	0.9244527	0.93988568	0.91358823	0.80643437	0.81461718	0.88408558	0.84391596	0.84481698	0.92689845	0.90422601	0.78441867
"X48"	0.93833954	0.96828074	0.95246062	0.96579994	0.97475964	0.95543383	0.89872439	0.98867627	0.90043582	0.99592093	0.99546669	0.92200443	0.94677328	0.97761654	0.97335128	0.92325796	0.95485027	0.93573319	0.97557139	0.93682687	0.93247074	0.97426163	0.9792424	0.92289258	0.93561941	0.90396046	0.91654742	0.98543699	0.96753768	0.92806403	0.97319844	0.96069018	0.9665246	0.96430741	0.94062813	0.96752611	0.96808614	0.97420805	0.922137	0.93327021	0.92347852	0.93768771	0.97688672	0.95139716	0.91107838	0.97973347	NA	0.83211188	0.70708534	0.91855392	0.80123477	0.80248896	0.76134038	0.68211495	0.67207911	0.79369339	0.72094136	0.69867949	0.8493623	0.8567698	0.90797923
"X49"	0.84821383	0.90369444	0.87219459	0.89285939	0.90971921	0.87495942	0.79179008	0.98474071	0.79405545	0.98019827	0.96426938	0.82375399	0.86746335	0.99757412	0.90778746	0.83257102	0.87426777	0.84373107	0.99558417	0.84801025	0.8432988	0.9995646	0.99912891	0.82502537	0.84704728	0.79865152	0.81957437	0.93279957	0.90310183	0.83928677	0.91355123	0.88444564	0.99852003	0.89921152	0.85253535	0.99756852	0.90500742	0.91311455	0.82761656	0.84429296	0.82628596	0.85131507	0.91419394	0.87023584	0.81292585	0.91953364	0.97682774	NA	0.55517033	0.78113816	0.63888778	0.63964167	0.5994975	0.53312172	0.5199661	0.64489505	0.57082295	0.54593337	0.68840987	0.70247228	0.79993007
"X50"	0.99580071	0.98853468	0.9969403	0.98848022	0.98252397	0.9929895	0.99361032	0.8861189	0.99403057	0.9168235	0.94169537	0.99631465	0.99754721	0.8507745	0.9828218	0.99792007	0.99284548	0.99588294	0.84195141	0.99957593	0.9997326	0.83685923	0.85011305	0.99653541	0.99938398	0.99431116	0.99902869	0.97463807	0.9676956	0.99803877	0.97439477	0.98988281	0.81750156	0.98923952	0.9990167	0.82540289	0.98476043	0.97690614	0.99951133	0.9996433	0.99641945	0.99949698	0.98273909	0.9973036	0.99826382	0.98019399	0.93107739	0.83982878	NA	0.71418209	0.81464761	0.83062712	0.90344282	0.96688299	0.9238642	0.88589619	0.96938077	0.93116034	0.82363686	0.83988012	0.68690081
"X51"	0.95080556	0.9670429	0.96044883	0.97587167	0.98359819	0.96634129	0.91217786	0.9899401	0.91407957	0.98700621	0.99982315	0.93521023	0.95080883	0.9680912	0.98291251	0.92817866	0.96588969	0.94816281	0.95929536	0.94498986	0.93892857	0.96147777	0.96735736	0.93587946	0.94315333	0.91805082	0.9250733	0.98712569	0.97976494	0.9327868	0.983731	0.97165471	0.9539142	0.9661889	0.94934638	0.95334346	0.97410708	0.98466381	0.93095302	0.93948988	0.93701496	0.94381764	0.98516192	0.95851669	0.91973231	0.98745635	0.99566197	0.96538461	0.93878506	NA	0.83997173	0.84648611	0.78626035	0.68750473	0.69071398	0.79344303	0.72658257	0.71856928	0.85131348	0.84954322	0.84423791
"X52"	0.98459399	0.97808239	0.98882631	0.99497174	0.99613776	0.99050575	0.96022271	0.94721864	0.96190024	0.95020137	0.98143798	0.97516978	0.97764863	0.91504872	0.99722606	0.96452988	0.98902126	0.9832168	0.89739823	0.98004186	0.9738346	0.90288595	0.91364456	0.97586505	0.97522451	0.96493053	0.96601376	0.99040189	0.99375798	0.96650475	0.99980457	0.99461001	0.89110972	0.98657912	0.98150937	0.88932745	0.99531703	0.99918146	0.9703053	0.97303002	0.97579395	0.97579448	0.99386712	0.98767689	0.96227532	0.99405627	0.96933782	0.90726358	0.9750744	0.98075795	NA	0.96006793	0.88497768	0.79115988	0.79355731	0.85501039	0.82925573	0.81794967	0.89937428	0.86331745	0.74384052
"X53"	0.98965719	0.98106051	0.99216136	0.99764667	0.99861569	0.9943074	0.96681806	0.9440207	0.96845138	0.94920071	0.98070156	0.98096209	0.9816859	0.90882047	0.99913728	0.96956449	0.99327882	0.98847252	0.89424493	0.98470205	0.97879173	0.89745862	0.90777812	0.98155624	0.98004981	0.97143555	0.97176497	0.99256674	0.99687735	0.97130804	0.99823529	0.99769473	0.88386611	0.98729379	0.98618102	0.88364553	0.99480023	0.99947799	0.97573314	0.97837794	0.98170815	0.98072882	0.99678161	0.99100554	0.96818404	0.9965735	0.96860892	0.90220282	0.9801081	0.98018989	0.99840881	NA	0.90900938	0.80480416	0.81267629	0.8582543	0.84201233	0.83730731	0.90880062	0.86944544	0.74102807
"X54"	0.9990737	0.9858696	0.9981012	0.99841688	0.99512254	0.99976166	0.98722637	0.91767678	0.98824779	0.93407256	0.96435931	0.99559443	0.99139773	0.87677847	0.99549828	0.98588348	0.99948498	0.99865684	0.86599737	0.99586666	0.99216431	0.86357894	0.87573383	0.99586166	0.99389627	0.99004928	0.98949128	0.98547528	0.98748318	0.98724917	0.9895314	0.99911585	0.84727915	0.98815549	0.99739483	0.85106062	0.99038281	0.99176398	0.99164243	0.99217961	0.99613239	0.99308076	0.9943951	0.99740102	0.98705164	0.9928659	0.95113399	0.86825327	0.9937697	0.9627248	0.99002838	0.9942121	NA	0.87710216	0.89483175	0.87023915	0.90236242	0.92646728	0.87530222	0.86447078	0.71301684
"X55"	0.99340831	0.98278948	0.9938564	0.98293067	0.97561067	0.98869158	0.9959086	0.87008191	0.99610092	0.9020362	0.92928706	0.99604128	0.99479265	0.83287248	0.97628352	0.99721161	0.98825655	0.9941376	0.82374445	0.99839774	0.9986778	0.81853866	0.83231363	0.99618945	0.99772009	0.99593804	0.99946535	0.96723542	0.9614263	0.99675555	0.9673044	0.98512209	0.79813479	0.98512535	0.99710135	0.80623678	0.97978196	0.97002197	0.9995325	0.99840174	0.99557062	0.99788322	0.97552836	0.99461308	0.99918741	0.97242937	0.91792187	0.8213743	0.99906048	0.92628036	0.96862411	0.97410781	0.99013717	NA	0.92374034	0.86343277	0.94883266	0.92256611	0.79856291	0.81627135	0.66501941
"X56"	0.99512902	0.97136055	0.98992618	0.9825717	0.97382974	0.98941126	0.99954642	0.86366988	0.99972509	0.88925372	0.92396116	0.99916226	0.9860856	0.81454626	0.9747539	0.98914819	0.98913276	0.99641418	0.80546235	0.99471826	0.99268207	0.7992214	0.81375941	0.99905973	0.99366062	0.99990694	0.99599307	0.95969529	0.96329502	0.98931737	0.96491843	0.98521415	0.77946728	0.97393683	0.99504942	0.78598865	0.97163097	0.96780899	0.99603445	0.99269741	0.99846084	0.99179655	0.97297957	0.99021469	0.99509105	0.96962574	0.90797866	0.80377399	0.99487786	0.9213421	0.9668193	0.97314421	0.99109909	0.99622886	NA	0.83052865	0.9061571	0.95155773	0.79036493	0.79726104	0.65074783
"X57"	0.98318604	0.99859911	0.99340081	0.99004326	0.98997376	0.98848104	0.96647227	0.93619886	0.96734217	0.96229113	0.97369465	0.97685045	0.99511225	0.91839412	0.98991229	0.98630094	0.98793713	0.981922	0.91069363	0.98901387	0.98916636	0.90860864	0.91877434	0.97748406	0.98901639	0.96850902	0.98137592	0.99310674	0.9749653	0.98773498	0.98585686	0.98868925	0.89322474	0.9988265	0.98907678	0.89961674	0.99509445	0.98719062	0.98382365	0.9890253	0.97760763	0.99106973	0.99150279	0.99332677	0.97933132	0.99099012	0.97108695	0.90988262	0.98749112	0.97151047	0.9846465	0.9860588	0.98717026	0.9818859	0.97041446	NA	0.90897789	0.85500667	0.8910728	0.92531277	0.77450555
"X58"	0.99460187	0.99195117	0.99819973	0.99045026	0.98552642	0.99360478	0.98982	0.89856664	0.99030734	0.92667469	0.95003517	0.99391545	0.99887749	0.86702681	0.98614455	0.99718541	0.99316392	0.99449908	0.85702269	0.99926167	0.99930646	0.85366257	0.86632568	0.99421222	0.99903681	0.9907294	0.9971728	0.98039225	0.97121724	0.99744804	0.97923253	0.99134608	0.83523488	0.99396282	0.9987165	0.84251826	0.98988094	0.98134959	0.99824804	0.99897872	0.99406544	0.9995326	0.98612193	0.99837398	0.99628202	0.98387593	0.94039638	0.85605471	0.99905382	0.94726831	0.97973177	0.98352841	0.99403082	0.99745979	0.99149872	0.99225945	NA	0.91921497	0.8376572	0.85530606	0.70092696
"X59"	0.99821334	0.98036053	0.99479399	0.99004067	0.98294522	0.99522728	0.9964472	0.88574095	0.99694076	0.90932772	0.94102322	0.99938681	0.99135529	0.84074459	0.98362695	0.99182616	0.99537639	0.99838499	0.83018206	0.99704995	0.9953304	0.82514906	0.83908056	0.99938579	0.99712629	0.99763244	0.99653832	0.96958534	0.97036303	0.9926128	0.9751429	0.99150823	0.80698967	0.98130848	0.99814024	0.81351505	0.97979713	0.97747644	0.99719345	0.99541664	0.99971535	0.99517266	0.98298374	0.99443794	0.99535613	0.98025531	0.92527907	0.8295418	0.99706504	0.9382458	0.97617829	0.98129828	0.99593986	0.99591937	0.99790201	0.97960319	0.99509507	NA	0.81660775	0.82219731	0.67362867
"X60"	0.98008911	0.98729862	0.98706664	0.99132901	0.99428474	0.98714936	0.95576159	0.95295372	0.95713284	0.96754757	0.98385406	0.97045676	0.98123592	0.92706782	0.99384892	0.9669599	0.98620563	0.9791691	0.92520726	0.97910007	0.97488411	0.92196324	0.93027866	0.97126769	0.97558692	0.95970011	0.96557532	0.99909371	0.9915354	0.96907213	0.9891853	0.99015918	0.90712227	0.98840406	0.98078573	0.90948707	0.99070183	0.99224259	0.96952925	0.97501458	0.97102559	0.97783455	0.9940627	0.98639246	0.96158567	0.99429216	0.98189769	0.92511963	0.97469549	0.98407517	0.98827521	0.99196727	0.98626684	0.96774191	0.96221665	0.99004389	0.97947428	0.97067169	NA	0.93060061	0.78965881
"X61"	0.97724073	0.99523984	0.98737081	0.9892291	0.99223227	0.98538313	0.95344716	0.9558575	0.9546359	0.97713435	0.98546842	0.96775268	0.98670814	0.93862485	0.99130016	0.97344677	0.98511512	0.9756035	0.9347065	0.97999557	0.97859635	0.93168106	0.93977796	0.96846669	0.97928537	0.95664243	0.9685838	0.99773897	0.98090116	0.97586672	0.98625111	0.98703503	0.91743024	0.9927979	0.98125542	0.9229924	0.99116721	0.98879455	0.9719492	0.97904554	0.96887879	0.98164485	0.99400852	0.98689401	0.9654092	0.99436097	0.98527365	0.9336371	0.97716683	0.98433568	0.98421515	0.98717815	0.98350364	0.96933502	0.95909991	0.99625075	0.98255455	0.97009647	0.99581986	NA	0.82124718
"X62"	0.9194229	0.96461822	0.93610234	0.94723809	0.95533563	0.93850754	0.88317848	0.97861984	0.88431036	0.99871734	0.98176985	0.90478197	0.93777068	0.97514037	0.95294752	0.9162063	0.93913861	0.91649906	0.97984476	0.92203272	0.9214962	0.97171204	0.97664301	0.90544273	0.92617458	0.88676733	0.90583559	0.96878285	0.93659111	0.92204639	0.94897553	0.94009895	0.96470867	0.95142582	0.92684433	0.97092182	0.94770922	0.95017292	0.91022786	0.92316243	0.90676795	0.92705904	0.96093153	0.93539535	0.90107771	0.96387799	0.99152453	0.97296175	0.91887855	0.9805135	0.9433502	0.94311972	0.93226931	0.90445303	0.89098492	0.96243001	0.92794337	0.91057308	0.96399345	0.97599122	NA
